group	file	base	makefile	socket
1	commit-1.new	cf838038802b6d5049e3368953a3a737dd3aaee5	Makefile-1	socket-cf838038802b6d5049e3368953a3a737dd3aaee5.c
2	commit-2.new	64a40b20d906f019a32fcb227c938768079dd9ed	Makefile-2	socket-64a40b20d906f019a32fcb227c938768079dd9ed.c
3	commit-3.new	5dbcb3e4ab2f540d1c726fc9a49f1df2c91c10ec	Makefile-3	socket-64a40b20d906f019a32fcb227c938768079dd9ed.c
8	commit-8.new	5e7333d2dd2950afa0bb3df06ab926afcc42db7d	Makefile-8	socket-5e7333d2dd2950afa0bb3df06ab926afcc42db7d.c
9-2	commit-9-2-new.txt	11947d8892d934389eb9b1968569d4ed786068d5	Makefile-9-2	socket-d65102861f51af48241f607afa678c4c2a0f894c.c
9-3	commit-9-3-new.txt	fdbf88032c76f182498f1ff85c0acebe20cca8a6	Makefile-9-3	socket-d65102861f51af48241f607afa678c4c2a0f894c.c
